,url,api,class,method,description
44,Bolts-Android/bolts,bolts,Class MeasurementEvent,public static final java.lang.String APP_LINK_NAVIGATE_OUT_EVENT_NAME,"The name for event of navigating out to other apps. Event raised in navigation methods, e.g. AppLinkNavigation.navigateInBackground(Context, String)"
45,Bolts-Android/bolts,bolts,Class Task<TResult>,public static final java.util.concurrent.ExecutorService BACKGROUND_EXECUTOR,An Executor that executes tasks in parallel.
46,Bolts-Android/bolts,bolts,Class Task<TResult>,public static Task.UnobservedExceptionHandler getUnobservedExceptionHandler(),Returns the handler invoked when a task has an unobserved exception or null.
47,Bolts-Android/bolts,bolts,Class Task<TResult>,public static void setUnobservedExceptionHandler(Task.UnobservedExceptionHandler eh),Set the handler invoked when a task has an unobserved exception.
48,Bolts-Android/bolts,bolts,Class Task<TResult>,public static <TResult> Task.TaskCompletionSource create(),Deprecated. Please use bolts.TaskCompletionSource() instead.
49,Bolts-Android/bolts,bolts,Class Task<TResult>,public boolean isCompleted(),
50,Bolts-Android/bolts,bolts,Class Task<TResult>,public boolean isCancelled(),
51,Bolts-Android/bolts,bolts,Class Task<TResult>,public boolean isFaulted(),
52,Bolts-Android/bolts,bolts,Class Task<TResult>,public TResult getResult(),
53,Bolts-Android/bolts,bolts,Class Task<TResult>,public java.lang.Exception getError(),
54,Bolts-Android/bolts,bolts,Class Task<TResult>,public void waitForCompletion() throws java.lang.InterruptedException,Blocks until the task is complete.
55,Bolts-Android/bolts,bolts,Class Task<TResult>,"public boolean waitForCompletion(long duration, java.util.concurrent.TimeUnit timeUnit) throws java.lang.InterruptedException",Blocks until the task is complete or times out.
56,Bolts-Android/bolts,bolts,Class Task<TResult>,public static <TResult> Task<TResult> forResult(TResult value),Creates a completed task with the given value.
57,Bolts-Android/bolts,bolts,Class Task<TResult>,public static <TResult> Task<TResult> forError(java.lang.Exception error),Creates a faulted task with the given error.
58,Bolts-Android/bolts,bolts,Class Task<TResult>,public static <TResult> Task<TResult> cancelled(),Creates a cancelled task.
59,Bolts-Android/bolts,bolts,Class Task<TResult>,public static Task<java.lang.Void> delay(long delay),Creates a task that completes after a time delay.
60,Bolts-Android/bolts,bolts,Class Task<TResult>,"public static Task<java.lang.Void> delay(long delay, CancellationToken cancellationToken)",Creates a task that completes after a time delay.
61,Bolts-Android/bolts,bolts,Class Task<TResult>,public <TOut> Task<TOut> cast(),"Makes a fluent cast of a Task's result possible, avoiding an extra continuation just to cast the type of the result."
62,Bolts-Android/bolts,bolts,Class Task<TResult>,public Task<java.lang.Void> makeVoid(),"Turns a Task into a Task, dropping any result."
63,Bolts-Android/bolts,bolts,Class Task<TResult>,public static <TResult> Task<TResult> callInBackground(java.util.concurrent.Callable<TResult> callable),"Invokes the callable on a background thread, returning a Task to represent the operation. If you want to cancel the resulting Task throw a CancellationException from the callable."
64,Bolts-Android/bolts,bolts,Class Task<TResult>,"public static <TResult> Task<TResult> callInBackground(java.util.concurrent.Callable<TResult> callable, CancellationToken ct)","Invokes the callable on a background thread, returning a Task to represent the operation."
65,Bolts-Android/bolts,bolts,Class Task<TResult>,"public static <TResult> Task<TResult> call(java.util.concurrent.Callable<TResult> callable, java.util.concurrent.Executor executor)","Invokes the callable using the given executor, returning a Task to represent the operation. If you want to cancel the resulting Task throw a CancellationException from the callable."
66,Bolts-Android/bolts,bolts,Class Task<TResult>,"public static <TResult> Task<TResult> call(java.util.concurrent.Callable<TResult> callable, java.util.concurrent.Executor executor, CancellationToken ct)","Invokes the callable using the given executor, returning a Task to represent the operation."
67,Bolts-Android/bolts,bolts,Class Task<TResult>,public static <TResult> Task<TResult> call(java.util.concurrent.Callable<TResult> callable),"Invokes the callable on the current thread, producing a Task. If you want to cancel the resulting Task throw a CancellationException from the callable."
68,Bolts-Android/bolts,bolts,Class Task<TResult>,"public static <TResult> Task<TResult> call(java.util.concurrent.Callable<TResult> callable, CancellationToken ct)","Invokes the callable on the current thread, producing a Task."
69,Bolts-Android/bolts,bolts,Class Task<TResult>,public static <TResult> Task<Task<TResult>> whenAnyResult(java.util.Collection<? extends Task<TResult>> tasks),Creates a task that will complete when any of the supplied tasks have completed. The returned task will complete when any of the supplied tasks has completed. The returned task will always end in the completed state with its result set to the first task to complete. This is true even if the first task to complete ended in the canceled or faulted state.
70,Bolts-Android/bolts,bolts,Class Task<TResult>,public static Task<Task<?>> whenAny(java.util.Collection<? extends Task<?>> tasks),Creates a task that will complete when any of the supplied tasks have completed. The returned task will complete when any of the supplied tasks has completed. The returned task will always end in the completed state with its result set to the first task to complete. This is true even if the first task to complete ended in the canceled or faulted state.
71,Bolts-Android/bolts,bolts,Class Task<TResult>,public static <TResult> Task<java.util.List<TResult>> whenAllResult(java.util.Collection<? extends Task<TResult>> tasks),"Creates a task that completes when all of the provided tasks are complete. If any of the supplied tasks completes in a faulted state, the returned task will also complete in a faulted state, where its exception will resolve to that Exception if a single task fails or an AggregateException of all the Exceptions if multiple tasks fail. If none of the supplied tasks faulted but at least one of them was cancelled, the returned task will end as cancelled. If none of the tasks faulted and none of the tasks were cancelled, the resulting task will end completed. The result of the returned task will be set to a list containing all of the results of the supplied tasks in the same order as they were provided (e.g. if the input tasks collection contained t1, t2, t3, the output task's result will return an List&lt;TResult&gt; where list.get(0) == t1.getResult(), list.get(1) == t2.getResult(), and list.get(2) == t3.getResult()). If the supplied collection contains no tasks, the returned task will immediately transition to a completed state before it's returned to the caller. The returned List&lt;TResult&gt; will contain 0 elements."
72,Bolts-Android/bolts,bolts,Class Task<TResult>,public static Task<java.lang.Void> whenAll(java.util.Collection<? extends Task<?>> tasks),"Creates a task that completes when all of the provided tasks are complete. If any of the supplied tasks completes in a faulted state, the returned task will also complete in a faulted state, where its exception will resolve to that Exception if a single task fails or an AggregateException of all the Exceptions if multiple tasks fail. If none of the supplied tasks faulted but at least one of them was cancelled, the returned task will end as cancelled. If none of the tasks faulted and none of the tasks were canceled, the resulting task will end in the completed state. If the supplied collection contains no tasks, the returned task will immediately transition to a completed state before it's returned to the caller."
73,Bolts-Android/bolts,bolts,Class Task<TResult>,"public Task<java.lang.Void> continueWhile(java.util.concurrent.Callable<java.lang.Boolean> predicate, Continuation<java.lang.Void,Task<java.lang.Void>> continuation)","Continues a task with the equivalent of a Task-based while loop, where the body of the loop is a task continuation."
74,Bolts-Android/bolts,bolts,Class Task<TResult>,"public Task<java.lang.Void> continueWhile(java.util.concurrent.Callable<java.lang.Boolean> predicate, Continuation<java.lang.Void,Task<java.lang.Void>> continuation, CancellationToken ct)","Continues a task with the equivalent of a Task-based while loop, where the body of the loop is a task continuation."
75,Bolts-Android/bolts,bolts,Class Task<TResult>,"public Task<java.lang.Void> continueWhile(java.util.concurrent.Callable<java.lang.Boolean> predicate, Continuation<java.lang.Void,Task<java.lang.Void>> continuation, java.util.concurrent.Executor executor)","Continues a task with the equivalent of a Task-based while loop, where the body of the loop is a task continuation."
76,Bolts-Android/bolts,bolts,Class Task<TResult>,"public Task<java.lang.Void> continueWhile(java.util.concurrent.Callable<java.lang.Boolean> predicate, Continuation<java.lang.Void,Task<java.lang.Void>> continuation, java.util.concurrent.Executor executor, CancellationToken ct)","Continues a task with the equivalent of a Task-based while loop, where the body of the loop is a task continuation."
77,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> continueWith(Continuation<TResult,TContinuationResult> continuation, java.util.concurrent.Executor executor)","Adds a continuation that will be scheduled using the executor, returning a new task that completes after the continuation has finished running. This allows the continuation to be scheduled on different thread."
78,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> continueWith(Continuation<TResult,TContinuationResult> continuation, java.util.concurrent.Executor executor, CancellationToken ct)","Adds a continuation that will be scheduled using the executor, returning a new task that completes after the continuation has finished running. This allows the continuation to be scheduled on different thread."
79,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> continueWith(Continuation<TResult,TContinuationResult> continuation)","Adds a synchronous continuation to this task, returning a new task that completes after the continuation has finished running."
80,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> continueWith(Continuation<TResult,TContinuationResult> continuation, CancellationToken ct)","Adds a synchronous continuation to this task, returning a new task that completes after the continuation has finished running."
81,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> continueWithTask(Continuation<TResult,Task<TContinuationResult>> continuation, java.util.concurrent.Executor executor)","Adds an Task-based continuation to this task that will be scheduled using the executor, returning a new task that completes after the task returned by the continuation has completed."
82,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> continueWithTask(Continuation<TResult,Task<TContinuationResult>> continuation, java.util.concurrent.Executor executor, CancellationToken ct)","Adds an Task-based continuation to this task that will be scheduled using the executor, returning a new task that completes after the task returned by the continuation has completed."
83,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> continueWithTask(Continuation<TResult,Task<TContinuationResult>> continuation)","Adds an asynchronous continuation to this task, returning a new task that completes after the task returned by the continuation has completed."
84,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> continueWithTask(Continuation<TResult,Task<TContinuationResult>> continuation, CancellationToken ct)","Adds an asynchronous continuation to this task, returning a new task that completes after the task returned by the continuation has completed."
85,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> onSuccess(Continuation<TResult,TContinuationResult> continuation, java.util.concurrent.Executor executor)","Runs a continuation when a task completes successfully, forwarding along Exception or cancellation."
86,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> onSuccess(Continuation<TResult,TContinuationResult> continuation, java.util.concurrent.Executor executor, CancellationToken ct)","Runs a continuation when a task completes successfully, forwarding along Exception or cancellation."
87,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> onSuccess(Continuation<TResult,TContinuationResult> continuation)","Runs a continuation when a task completes successfully, forwarding along Exceptions or cancellation."
88,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> onSuccess(Continuation<TResult,TContinuationResult> continuation, CancellationToken ct)","Runs a continuation when a task completes successfully, forwarding along Exceptions or cancellation."
89,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> onSuccessTask(Continuation<TResult,Task<TContinuationResult>> continuation, java.util.concurrent.Executor executor)","Runs a continuation when a task completes successfully, forwarding along Exceptions or cancellation."
90,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> onSuccessTask(Continuation<TResult,Task<TContinuationResult>> continuation, java.util.concurrent.Executor executor, CancellationToken ct)","Runs a continuation when a task completes successfully, forwarding along Exceptions or cancellation."
91,Bolts-Android/bolts,bolts,Class Task<TResult>,"public <TContinuationResult> Task<TContinuationResult> onSuccessTask(Continuation<TResult,Task<TContinuationResult>> continuation)","Runs a continuation when a task completes successfully, forwarding along Exceptions or cancellation."
92,Bolts-Android/bolts,bolts,Class TaskCompletionSource<TResult>,public Task<TResult> getTask(),
93,Bolts-Android/bolts,bolts,Class TaskCompletionSource<TResult>,public boolean trySetCancelled(),Sets the cancelled flag on the Task if the Task hasn't already been completed.
94,Bolts-Android/bolts,bolts,Class TaskCompletionSource<TResult>,public boolean trySetResult(TResult result),Sets the result on the Task if the Task hasn't already been completed.
95,Bolts-Android/bolts,bolts,Class TaskCompletionSource<TResult>,public boolean trySetError(java.lang.Exception error),Sets the error on the Task if the Task hasn't already been completed.
96,Bolts-Android/bolts,bolts,Class TaskCompletionSource<TResult>,public void setCancelled(),"Sets the cancelled flag on the task, throwing if the Task has already been completed."
97,Bolts-Android/bolts,bolts,Class TaskCompletionSource<TResult>,public void setResult(TResult result),"Sets the result of the Task, throwing if the Task has already been completed."
98,glide/signature,com.bumptech.glide.signature,Class AndroidResourceSignature,@NonNullpublic static Key obtain(@NonNull android.content.Context context),
99,glide/signature,com.bumptech.glide.signature,Class AndroidResourceSignature,public boolean equals(java.lang.Object o),Description copied from interface: Key
100,glide/signature,com.bumptech.glide.signature,Class AndroidResourceSignature,public int hashCode(),Description copied from interface: Key
101,glide/gifencoder,com.bumptech.glide.gifencoder,Class AnimatedGifEncoder,public void setDelay(int ms),"Sets the delay time between each frame, or changes it for subsequent frames (applies to last frame added)."
102,glide/gifencoder,com.bumptech.glide.gifencoder,Class AnimatedGifEncoder,public void setDispose(int code),"Sets the GIF frame disposal code for the last added frame and any subsequent frames. Default is 0 if no transparent color has been set, otherwise 2."
103,glide/gifencoder,com.bumptech.glide.gifencoder,Class AnimatedGifEncoder,public void setRepeat(int iter),Sets the number of times the set of GIF frames should be played. Default is 1; 0 means play indefinitely. Must be invoked before the first image is added.
104,glide/gifencoder,com.bumptech.glide.gifencoder,Class AnimatedGifEncoder,public void setTransparent(int color),"Sets the transparent color for the last added frame and any subsequent frames. Since all colors are subject to modification in the quantization process, the color in the final palette for each frame closest to the given color becomes the transparent color for that frame. May be set to null to indicate no transparent color."
105,glide/gifencoder,com.bumptech.glide.gifencoder,Class AnimatedGifEncoder,public boolean addFrame(@Nullable android.graphics.Bitmap im),"Adds next GIF frame. The frame is not written immediately, but is actually deferred until the next frame is received so that timing data can be inserted. Invoking finish() flushes all frames. If setSize was invoked, the size is used for all subsequent frames. Otherwise, the actual size of the image is used for each frames."
106,glide/gifencoder,com.bumptech.glide.gifencoder,Class AnimatedGifEncoder,"public boolean addFrame(@Nullable android.graphics.Bitmap im, int x, int y)","Adds next GIF frame to the specified position. The frame is not written immediately, but is actually deferred until the next frame is received so that timing data can be inserted. Invoking finish() flushes all frames. If setSize was invoked, the size is used for all subsequent frames. Otherwise, the actual size of the image is used for each frame. See page 11 of http://giflib.sourceforge.net/gif89.txt for the position of the frame"
107,glide/gifencoder,com.bumptech.glide.gifencoder,Class AnimatedGifEncoder,public boolean finish(),"Flushes any pending data and closes output file. If writing to an OutputStream, the stream is not closed."
108,glide/gifencoder,com.bumptech.glide.gifencoder,Class AnimatedGifEncoder,public void setFrameRate(float fps),Sets frame rate in frames per second. Equivalent to setDelay(1000/fps).
109,glide/gifencoder,com.bumptech.glide.gifencoder,Class AnimatedGifEncoder,public void setQuality(int quality),"Sets quality of color quantization (conversion of images to the maximum 256 colors allowed by the GIF specification). Lower values (minimum = 1) produce better colors, but slow processing significantly. 10 is the default, and produces good color mapping at reasonable speeds. Values greater than 20 do not yield significant improvements in speed."
110,glide/gifencoder,com.bumptech.glide.gifencoder,Class AnimatedGifEncoder,"public void setSize(int w, int h)",Sets the fixed GIF frame size for all the frames. This should be called before start.
111,glide/gifencoder,com.bumptech.glide.gifencoder,Class AnimatedGifEncoder,public boolean start(@Nullable java.io.OutputStream os),Initiates GIF file creation on the given stream. The stream is not closed automatically.
112,glide/module,com.bumptech.glide.module,Class AppGlideModule,public boolean isManifestParsingEnabled(),Returns true if Glide should check the AndroidManifest for GlideModules. Implementations should return false after they and their dependencies have migrated to Glide's annotation processor. Returns true by default.
113,request/target,com.bumptech.glide.request.target,Class AppWidgetTarget,"public AppWidgetTarget(android.content.Context context, int width, int height, int viewId, android.widget.RemoteViews remoteViews, int... widgetIds)",Constructor using an int array of widgetIds to get a handle on the Widget in order to update it.
114,request/target,com.bumptech.glide.request.target,Class AppWidgetTarget,"public AppWidgetTarget(android.content.Context context, int viewId, android.widget.RemoteViews remoteViews, int... widgetIds)",Constructor using an int array of widgetIds to get a handle on the Widget in order to update it that uses Target.SIZE_ORIGINAL as the target width and height.
115,request/target,com.bumptech.glide.request.target,Class AppWidgetTarget,"public AppWidgetTarget(android.content.Context context, int width, int height, int viewId, android.widget.RemoteViews remoteViews, android.content.ComponentName componentName)",Constructor using a ComponentName to get a handle on the Widget in order to update it.
116,request/target,com.bumptech.glide.request.target,Class AppWidgetTarget,"public void onResourceReady(@NonNull android.graphics.Bitmap resource, @Nullable Transition<? super android.graphics.Bitmap> transition)",Description copied from interface: Target
117,engine/bitmap_recycle,com.bumptech.glide.load.engine.bitmap_recycle,Interface ArrayPool,"@Deprecated<T> void put(T array, java.lang.Class<T> arrayClass)",Deprecated. Use put(Object)
118,engine/bitmap_recycle,com.bumptech.glide.load.engine.bitmap_recycle,Interface ArrayPool,<T> void put(T array),"Optionally adds the given array of the given type to the pool. Arrays may be ignored, for example if the array is larger than the maximum size of the pool."
119,engine/bitmap_recycle,com.bumptech.glide.load.engine.bitmap_recycle,Interface ArrayPool,"<T> T get(int size, java.lang.Class<T> arrayClass)","Returns a non-null array of the given type with a length >= to the given size. If an array of the given size isn't in the pool, a new one will be allocated. This class makes no guarantees about the contents of the returned array."
120,engine/bitmap_recycle,com.bumptech.glide.load.engine.bitmap_recycle,Interface ArrayPool,"<T> T getExact(int size, java.lang.Class<T> arrayClass)","Returns a non-null array of the given type with a length exactly equal to the given size. If an array of the given size isn't in the pool, a new one will be allocated. This class makes no guarantees about the contents of the returned array."
121,engine/bitmap_recycle,com.bumptech.glide.load.engine.bitmap_recycle,Interface ArrayPool,void clearMemory(),Clears all arrays from the pool.
122,load/data,com.bumptech.glide.load.data,Class AssetFileDescriptorLocalUriFetcher,"protected android.content.res.AssetFileDescriptor loadResource(android.net.Uri uri, android.content.ContentResolver contentResolver) throws java.io.FileNotFoundException",Description copied from class: LocalUriFetcher
123,load/data,com.bumptech.glide.load.data,Class AssetFileDescriptorLocalUriFetcher,protected void close(android.content.res.AssetFileDescriptor data) throws java.io.IOException,Description copied from class: LocalUriFetcher
124,load/data,com.bumptech.glide.load.data,Class AssetPathFetcher<T>,"public void loadData(@NonNull Priority priority, @NonNull DataFetcher.DataCallback<? super T> callback)",Description copied from interface: DataFetcher
125,load/data,com.bumptech.glide.load.data,Class AssetPathFetcher<T>,public void cleanup(),Description copied from interface: DataFetcher
126,load/data,com.bumptech.glide.load.data,Class AssetPathFetcher<T>,public void cancel(),Description copied from interface: DataFetcher
127,load/data,com.bumptech.glide.load.data,Class AssetPathFetcher<T>,@NonNullpublic DataSource getDataSource(),Description copied from interface: DataFetcher
128,load/data,com.bumptech.glide.load.data,Class AssetPathFetcher<T>,"protected abstract T loadResource(android.content.res.AssetManager assetManager, java.lang.String path) throws java.io.IOException",Opens the given asset path with the given AssetManager and returns the concrete data type returned by the AssetManager.
129,load/model,com.bumptech.glide.load.model,Class AssetUriLoader<Data>,"public ModelLoader.LoadData<Data> buildLoadData(@NonNull android.net.Uri model, int width, int height, @NonNull Options options)",Description copied from interface: ModelLoader
130,load/model,com.bumptech.glide.load.model,Class AssetUriLoader.FileDescriptorFactory,"@NonNullpublic ModelLoader<android.net.Uri,android.os.ParcelFileDescriptor> build(MultiModelLoaderFactory multiFactory)",Description copied from interface: ModelLoaderFactory
131,load/model,com.bumptech.glide.load.model,Class AssetUriLoader.FileDescriptorFactory,public void teardown(),Description copied from interface: ModelLoaderFactory
132,load/model,com.bumptech.glide.load.model,Class AssetUriLoader.StreamFactory,"@NonNullpublic ModelLoader<android.net.Uri,java.io.InputStream> build(MultiModelLoaderFactory multiFactory)",Description copied from interface: ModelLoaderFactory
133,load/model,com.bumptech.glide.load.model,Class AssetUriLoader.StreamFactory,public void teardown(),Description copied from interface: ModelLoaderFactory
134,model/stream,com.bumptech.glide.load.model.stream,Class BaseGlideUrlLoader<Model>,"protected BaseGlideUrlLoader(ModelLoader<GlideUrl,java.io.InputStream> concreteLoader)",
135,model/stream,com.bumptech.glide.load.model.stream,Class BaseGlideUrlLoader<Model>,"@Nullablepublic ModelLoader.LoadData<java.io.InputStream> buildLoadData(@NonNull Model model, int width, int height, @NonNull Options options)",Description copied from interface: ModelLoader
136,model/stream,com.bumptech.glide.load.model.stream,Class BaseGlideUrlLoader<Model>,"protected abstract java.lang.String getUrl(Model model, int width, int height, Options options)",Returns a valid url http:// or https:// for the given model and dimensions as a string.
137,model/stream,com.bumptech.glide.load.model.stream,Class BaseGlideUrlLoader<Model>,"protected java.util.List<java.lang.String> getAlternateUrls(Model model, int width, int height, Options options)","Returns a list of alternate urls for the given model, width, and height from which equivalent data can be obtained (usually the same image with the same aspect ratio, but in a larger size) as the primary url. Implementing this method allows Glide to fulfill requests for bucketed images in smaller bucket sizes using already cached data for larger bucket sizes."
138,glide/request,com.bumptech.glide.request,Class BaseRequestOptions<T extends BaseRequestOptions<T>>,@NonNull @CheckResultpublic T sizeMultiplier(float sizeMultiplier),Applies a multiplier to the Target's size before loading the resource. Useful for loading thumbnails or trying to avoid loading huge resources (particularly Bitmaps on devices with overly dense screens.
